epoch,subset,total_cases,rank1,rank2,rank5,rank
60,train,307,254,275,296,303
60,test,126,33,42,62,73
65,train,307,255,274,289,300
65,test,126,34,48,66,81
70,train,307,273,283,297,305
70,test,126,44,52,70,82
75,train,307,269,286,299,302
75,test,126,41,53,68,86
80,train,307,249,273,292,299
80,test,126,39,51,71,82
85,train,307,264,283,297,303
85,test,126,40,47,68,78
90,train,307,270,282,296,301
90,test,126,49,59,73,86
95,train,307,275,288,302,306
95,test,126,45,56,71,84
100,train,307,265,279,297,299
100,test,126,39,51,65,81
105,train,307,265,288,301,306
105,test,126,41,53,66,77
110,train,307,271,291,298,301
110,test,126,49,60,72,82
115,train,307,261,281,293,302
115,test,126,39,50,72,81
120,train,307,273,290,302,305
120,test,126,48,62,79,87
125,train,307,262,285,294,304
125,test,126,45,54,69,83
130,train,307,267,293,301,305
130,test,126,40,53,69,83
135,train,307,267,287,298,301
135,test,126,36,47,68,81
140,train,307,275,296,304,306
140,test,126,42,54,68,81
145,train,307,263,285,301,304
145,test,126,38,50,67,81
150,train,307,273,290,303,305
150,test,126,40,47,71,83
155,train,307,277,290,298,302
155,test,126,40,47,69,87
160,train,307,281,290,303,307
160,test,126,43,52,71,86
165,train,307,271,287,297,302
165,test,126,40,52,66,81
170,train,307,280,296,302,306
170,test,126,38,55,70,78
175,train,307,274,288,298,302
175,test,126,43,51,65,75
180,train,307,276,295,303,305
180,test,126,43,59,75,86
185,train,307,278,291,301,304
185,test,126,37,49,68,79
190,train,307,272,284,298,304
190,test,126,43,56,75,86
195,train,307,287,299,304,304
195,test,126,44,54,69,85
200,train,307,271,295,302,304
200,test,126,41,59,71,82
205,train,307,284,292,301,306
205,test,126,44,50,70,82
210,train,307,277,293,303,306
210,test,126,36,47,66,80
215,train,307,285,300,303,305
215,test,126,42,60,76,86
220,train,307,290,300,303,306
220,test,126,47,58,72,81
225,train,307,283,292,299,302
225,test,126,48,56,73,84
230,train,307,283,297,303,306
230,test,126,39,56,68,82
235,train,307,278,294,303,304
235,test,126,45,57,70,85
240,train,307,289,297,303,306
240,test,126,36,56,71,86
0,train,307,304,306,306,306
0,test,126,41,54,69,82
5,train,307,303,306,307,307
5,test,126,43,55,70,86
10,train,307,302,307,307,307
10,test,126,48,60,81,92
15,train,307,306,307,307,307
15,test,126,49,61,70,88
20,train,307,307,307,307,307
20,test,126,46,62,71,86
25,train,307,305,306,307,307
25,test,126,46,62,77,88
30,train,307,306,307,307,307
30,test,126,55,62,77,91
35,train,307,304,307,307,307
35,test,126,51,64,74,91
40,train,307,305,307,307,307
40,test,126,48,64,79,92
45,train,307,305,306,307,307
45,test,126,47,57,83,95
50,train,307,306,307,307,307
50,test,126,48,67,84,94
55,train,307,305,307,307,307
55,test,126,49,62,79,88
60,train,307,306,307,307,307
60,test,126,49,69,85,93
65,train,307,306,307,307,307
65,test,126,50,64,79,88
70,train,307,304,306,307,307
70,test,126,56,64,81,93
75,train,307,307,307,307,307
75,test,126,49,72,83,94
80,train,307,305,306,307,307
80,test,126,57,71,82,90
85,train,307,304,306,307,307
85,test,126,49,60,80,89
90,train,307,307,307,307,307
90,test,126,54,67,82,92
95,train,307,307,307,307,307
95,test,126,50,68,79,91
100,train,307,306,307,307,307
100,test,126,46,69,81,93
105,train,307,304,307,307,307
105,test,126,56,64,78,93
110,train,307,307,307,307,307
110,test,126,51,64,83,95
115,train,307,303,306,307,307
115,test,126,50,62,83,88
120,train,307,306,307,307,307
120,test,126,54,62,83,96
125,train,307,307,307,307,307
125,test,126,46,55,77,87
130,train,307,306,307,307,307
130,test,126,52,67,78,90
135,train,307,307,307,307,307
135,test,126,54,68,83,94
140,train,307,307,307,307,307
140,test,126,58,67,84,95
145,train,307,305,307,307,307
145,test,126,52,69,81,92
150,train,307,305,307,307,307
150,test,126,56,66,79,95
155,train,307,306,307,307,307
155,test,126,50,65,82,95
160,train,307,306,307,307,307
160,test,126,45,64,77,93
165,train,307,306,307,307,307
165,test,126,49,66,78,91
170,train,307,307,307,307,307
170,test,126,46,63,81,95
175,train,307,307,307,307,307
175,test,126,47,65,82,89
180,train,307,307,307,307,307
180,test,126,52,68,78,93
0,train,307,307,307,307,307
0,test,126,49,61,78,92
5,train,307,307,307,307,307
5,test,126,48,62,78,95
0,train,307,303,305,307,307
0,test,126,48,59,78,91
5,train,307,304,305,307,307
5,test,126,45,62,79,91
10,train,307,303,306,307,307
10,test,126,51,62,82,94
15,train,307,300,307,307,307
15,test,126,45,58,76,87
20,train,307,304,306,306,307
20,test,126,49,58,78,90
25,train,307,301,307,307,307
25,test,126,52,65,79,95
30,train,307,307,307,307,307
30,test,126,54,65,82,91
35,train,307,304,306,307,307
35,test,126,51,65,85,92
40,train,307,304,307,307,307
40,test,126,54,68,81,92
45,train,307,303,306,306,307
45,test,126,51,67,78,90
50,train,307,305,307,307,307
50,test,126,49,65,80,87
55,train,307,303,306,307,307
55,test,126,53,63,79,93
60,train,307,303,307,307,307
60,test,126,55,68,86,100
65,train,307,298,301,305,307
65,test,126,58,67,76,91
70,train,307,300,304,307,307
70,test,126,51,66,77,88
75,train,307,304,306,307,307
75,test,126,51,60,75,90
80,train,307,302,305,307,307
80,test,126,58,69,79,93
85,train,307,305,306,306,307
85,test,126,48,60,80,90
90,train,307,306,306,307,307
90,test,126,56,69,83,91
95,train,307,306,307,307,307
95,test,126,52,68,87,95
100,train,307,304,305,306,306
100,test,126,46,60,73,89
105,train,307,306,307,307,307
105,test,126,46,59,74,93
0,train,307,279,293,301,304
0,test,126,44,61,76,93
5,train,307,283,295,301,302
5,test,126,50,61,77,87
10,train,307,284,298,306,306
10,test,126,48,57,81,91
15,train,307,290,298,304,306
15,test,126,43,58,76,89
20,train,307,290,301,305,306
20,test,126,45,55,71,86
25,train,307,295,298,301,304
25,test,126,46,58,75,85
30,train,307,284,296,304,306
30,test,126,50,60,75,86
35,train,307,285,300,303,304
35,test,126,42,59,72,86
40,train,307,287,299,304,307
40,test,126,49,60,72,91
45,train,307,289,299,306,307
45,test,126,47,56,78,90
50,train,307,294,303,307,307
50,test,126,41,55,68,83
55,train,307,287,298,306,306
55,test,126,47,57,74,90
60,train,307,290,302,306,307
60,test,126,43,56,67,79
65,train,307,289,297,305,306
65,test,126,38,54,69,82
70,train,307,292,302,304,307
70,test,126,47,59,77,93
75,train,307,292,300,304,307
75,test,126,43,58,72,85
80,train,307,293,302,306,307
80,test,126,47,57,71,86
85,train,307,295,303,306,306
85,test,126,41,51,67,87
90,train,307,291,301,307,307
90,test,126,46,60,74,88
0,train,307,302,307,307,307
0,test,126,48,57,76,90
5,train,307,305,307,307,307
5,test,126,56,66,78,90
10,train,307,303,304,307,307
10,test,126,50,64,79,90
15,train,307,303,306,307,307
15,test,126,47,59,84,92
20,train,307,306,307,307,307
20,test,126,48,62,76,87
25,train,307,302,306,307,307
25,test,126,50,63,81,94
30,train,307,307,307,307,307
30,test,126,53,62,82,89
35,train,307,306,307,307,307
35,test,126,47,61,80,90
40,train,307,306,307,307,307
40,test,126,51,63,77,90
45,train,307,306,306,307,307
45,test,126,52,64,79,94
50,train,307,307,307,307,307
50,test,126,50,67,84,97
55,train,307,307,307,307,307
55,test,126,49,63,77,91
60,train,307,307,307,307,307
60,test,126,50,67,84,96
65,train,307,306,307,307,307
65,test,126,45,62,83,96
70,train,307,304,307,307,307
70,test,126,50,64,77,93
75,train,307,306,306,307,307
75,test,126,48,60,80,90
80,train,307,304,307,307,307
80,test,126,55,66,81,92
0,train,307,251,282,296,304
0,test,126,31,38,52,69
5,train,307,245,270,294,303
5,test,126,31,42,66,82
10,train,307,238,276,294,301
10,test,126,41,52,63,75
15,train,307,263,286,303,304
15,test,126,30,42,61,77
20,train,307,278,295,302,305
20,test,126,37,55,66,87
25,train,307,267,288,300,306
25,test,126,39,50,77,87
30,train,307,280,295,304,306
30,test,126,46,61,75,88
35,train,307,273,295,307,307
35,test,126,53,66,75,87
40,train,307,273,290,300,307
40,test,126,48,58,75,89
45,train,307,273,291,304,306
45,test,126,37,45,62,78
50,train,307,270,289,302,303
50,test,126,38,51,74,89
55,train,307,267,291,299,304
55,test,126,39,55,70,85
60,train,307,266,286,300,303
60,test,126,37,52,72,86
65,train,307,266,285,302,305
65,test,126,35,45,60,76
70,train,307,290,301,305,307
70,test,126,50,63,79,92
75,train,307,278,298,305,305
75,test,126,41,56,74,82
80,train,307,287,299,306,307
80,test,126,47,59,79,86
85,train,307,282,299,305,305
85,test,126,48,67,84,93
90,train,307,281,294,303,305
90,test,126,49,58,74,87
95,train,307,283,297,304,307
95,test,126,48,59,72,85
100,train,307,291,301,304,306
100,test,126,45,54,76,84
105,train,307,288,300,305,307
105,test,126,55,65,79,93
110,train,307,289,303,306,307
110,test,126,44,50,69,83
115,train,307,284,299,305,305
115,test,126,44,57,73,88
120,train,307,281,296,302,305
120,test,126,44,58,69,87
125,train,307,287,297,302,306
125,test,126,43,51,73,88
130,train,307,273,296,305,305
130,test,126,38,50,80,89
135,train,307,284,295,301,306
135,test,126,45,52,74,90
140,train,307,293,300,303,307
140,test,126,61,64,78,88
145,train,307,286,299,306,307
145,test,126,56,66,78,88
150,train,307,286,301,307,307
150,test,126,55,61,85,93
155,train,307,282,298,305,305
155,test,126,54,62,78,88
160,train,307,291,301,304,306
160,test,126,46,65,77,90
165,train,307,285,301,306,307
165,test,126,50,59,75,86
170,train,307,290,300,305,307
170,test,126,57,68,82,94
175,train,307,291,297,304,306
175,test,126,49,66,79,93
180,train,307,284,300,304,305
180,test,126,46,59,79,92
185,train,307,282,299,305,305
185,test,126,56,66,73,91
190,train,307,291,300,304,305
190,test,126,50,63,79,94
195,train,307,295,300,304,305
195,test,126,59,68,83,92
200,train,307,296,303,307,307
200,test,126,57,74,86,97
205,train,307,281,300,304,305
205,test,126,55,63,72,86
210,train,307,286,298,305,307
210,test,126,48,59,79,90
215,train,307,282,292,300,305
215,test,126,57,67,83,100
220,train,307,288,299,304,304
220,test,126,55,69,79,93
225,train,307,293,302,305,307
225,test,126,57,66,78,89
230,train,307,295,302,305,307
230,test,126,60,73,92,101
235,train,307,297,305,306,306
235,test,126,49,59,73,94
240,train,307,298,306,306,306
240,test,126,60,72,84,97
245,train,307,295,304,305,307
245,test,126,57,73,85,93
250,train,307,299,307,307,307
250,test,126,59,69,80,91
255,train,307,300,305,306,306
255,test,126,63,74,86,94
260,train,307,297,302,306,307
260,test,126,53,67,84,92
265,train,307,281,300,305,307
265,test,126,55,71,87,93
270,train,307,288,299,305,305
270,test,126,52,68,85,95
275,train,307,288,298,304,306
275,test,126,46,60,82,89
280,train,307,285,297,304,306
280,test,126,52,71,84,92
285,train,307,293,303,304,305
285,test,126,62,73,89,97
0,train,307,306,307,307,307
0,test,126,73,83,94,102
5,train,307,307,307,307,307
5,test,126,76,84,95,105
0,train,307,306,307,307,307
0,test,126,74,83,95,102
5,train,307,307,307,307,307
5,test,126,76,84,95,105
